Security Code,Issuer Name,Security Id,Security Name,Sector Name
507609,"Olympic Oil Industries Ltd.,",OLYOI,OLYMPIC OIL INDUSTRIES LTD.,Fast Moving Consumer Goods
507621,"Milkfood Ltd.,",MLKFOOD,MILKFOOD LTD.,Fast Moving Consumer Goods
507645,"Polson Ltd.,",POLSON,POLSON LTD.,Commodities
507663,"Sagar Soya Products Ltd.,",SAGRSOY-B,SAGAR SOYA PRODUCTS LTD.,Fast Moving Consumer Goods
507685,"Wipro  Ltd.,",WIPRO,WIPRO LTD.,Information Technology
507690,"Orient Beverages Ltd.,",ORIBEVER,ORIENT BEVERAGES LTD.,Fast Moving Consumer Goods
507717,Dhanuka Agritech Ltd.,DHANUKA,DHANUKA AGRITECH LTD.,Commodities
507747,"TTK Healthcare Ltd.,",TTKHEALTH,TTK HEALTHCARE LTD.-$,Diversified
507753,TGV SRAAC LIMITED,TGVSL,TGV Sraac Ltd,Commodities
507759,Lime Chemicals Ltd.,LIMECHM,LIME CHEMICALS LTD.,Commodities
507779,Kanpur Plastipack Limited,KANPRPLA,KANPUR PLASTIPACK LTD.,Industrials
507785,Tainwala Chemicals & Plastics Ltd,TAINWALCHM,TAINWALA CHEMICALS & PLASTICS (INDIA) LTD.,Industrials
507789,"Jagsonpal Pharmaceuticals Limited,",JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LTD.,Healthcare
507794,Khaitan Chemicals & Fertilizers Ltd,KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LTD.,Commodities
507808,United Leasing & Industries Ltd,UNTTEMI,UNITED LEASING & INDUSTRIES LTD.,Consumer Discretionary
507813,"National Oxygen Ltd.,",NOL,NATIONAL OXYGEN LTD.,Commodities
507815,Gillette India Ltd.,GILLETTE,GILLETTE INDIA LTD.,Fast Moving Consumer Goods
507817,"Wires & Fabriks (SA) Ltd.,",WIREFABR,WIRES & FABRIKS (SA) LTD.,Consumer Discretionary
507828,ANSAL HOUSING LIMITED,ANSALHSG,Ansal Housing Ltd-$,Consumer Discretionary
507833,"Computer Point Ltd.,",COMPUPN,COMPUTER POINT LTD.,Information Technology
507836,"Mac Charles (India) Ltd.,",MCCHRLS-B,MAC CHARLES (INDIA) LTD.,Consumer Discretionary
507852,"Addi Industries Ltd.,",ADDIND,ADDI INDUSTRIES LTD.-$,Consumer Discretionary
507864,Pioneer Investcorp Ltd,PIONRINV,PIONEER INVESTCORP LTD.,Financial Services
507872,Ashnoor Textiles Mills Ltd.,ASHNOOR,ASHNOOR TEXTILE MILLS LTD.,Consumer Discretionary
507878,"Unitech Ltd.,",UNITECH,UNITECH LTD.,Consumer Discretionary
507880,"V.I.P. Industries Ltd.,",VIPIND,V.I.P.INDUSTRIES LTD.-$,Consumer Discretionary
507910,FIBERWEB (INDIA) LTD.,FIBERWEB,FIBERWEB (INDIA) LTD.,Consumer Discretionary
507912,LKP Finance Limited,LKPFIN,LKP Finance Limited,Financial Services
507917,East Buildtech Limited,EASTBUILD,EAST BUILDTECH LTD.,Consumer Discretionary
507938,"Manipal Finance Corporation Ltd.,",MNPLFIN,MANIPAL FINANCE CORPORATION LTD.,Financial Services
507944,"Bajaj Steel Industries Ltd.,",BAJAJST,BAJAJ STEEL INDUSTRIES LTD.,Industrials
507946,Kiduja  India  Ltd,KIDUJA,KIDUJA INDIA LTD.,Financial Services
